feature,importance_M5,rank_M5
lag_1,894,1
lag_7,689,2
price,370,3
rolling_std_7,359,4
kw_lag_1,310,5
kw_log,296,6
rolling_std_30,276,7
day_of_week,276,8
recovery_median,249,9
kw_lag_3,244,10
recovery_trend,206,11
rolling_30_mean,190,12
days_to_holiday,186,13
rolling_7_mean,177,14
month,156,15
recovery_mean,106,16
is_holiday,21,17
is_post_crash,8,18
quarter,0,19
